nco_code,title,description
8212.2504,,"Technician NSQF Level ISCO 08 Unit Group Details: Code 8212 Printing Title Electrical and Electronic Screen Equipment Assemblers for 8212.2701 of PCB Assembly Operator board PCB Assembly Operator manually i electronic components for assembli apply a printed circuit board (PCB) as pe indicate design. The individual on the j responsible for manually placing dif types of components on the PCB the design requirements and soldering them. Qualification Pack Details: QP NOS Reference ELE/Q7804 QP NOS Name PCB Assembly Operator NSQF Level 4 on haulage destination of material. Checks engine equipment, audible signals, head lights, warning bell or whistle, adequate quantity of sand is stored in sand chamber for releasing on track to have adequate grip. Ensures that cars or tubs are coupled up together and linked"
8331.0302,,
8341,Mobile Farm and Forestry Plant,and undertake minor repairs. Operators
8342,Earth Moving and Related Plant,Qualification Pack Details: Operators QP NOS Reference AGR/Q0401
8343,"Crane, Hoist and Related Plant",QP NOS Name Tractor Operator Operators NSQF Level 4
8344,Lifting Truck Operators,"operating switches, opens double gates of Workers 92 Agricultural, Forestry and Fishery Labourers 93 Labourers in Mining, Construction, Manufacturing and Transport Division 94 Food Preparation Assistants 9 95 Street and Related Sales and Services Workers 96 Refuse Workers and Other Elementary Workers"
9121,Hand Launderers and Pressers,
9122,Vehicle Cleaners,ISCO 08 Unit Group Details: Code 9121
9123,Window Cleaners,Title Hand Launderers and Pressers
9129,Other Cleaning Workers,"collects seeds, equipment, etc. Attends to tasks in field in connection with planting, preparation of soil, sowing, weeding, hoeing, pruning, harvesting, plucking fruits or flowers, threshing, drying, winnowing, bagging, storing, etc. Consults Fieldman in different assignments as and when necessary. Hands over equipment at close of day. as strings, dirt, and paper from tobacco as"
9211.0100,it moves along conveyor to ensure clean,"and uniform product. May drop pickings 9331 Hand and Pedal Vehicle Drivers 9332 Drivers of Animal-Drawn Vehicles and Machinery 9333 Freight Handlers 9334 Shelf Fillers examining bogie wheels and axle boxes,"
9331.0400,,"lighting signal lamps before sunset, washing and cleaning coaches at stations, closing and operating railway gates, waking up Train Guards and Engine Drivers at night for duty, fixing gangway for aircraft passengers setting control pole of trams with overhead electric line etc., and are designated according to nature of work performed such as WHEEL MAN; CALL BOY (RAILWAY); LAMP MAN (RAILWAY); CARRIAGE CLEANER; GATE MAN (RAILWAY); POLEMAN TRAM, etc. ISCO 08 Unit Group Details: Code 9331 Title Hand and Pedal Vehicle Drivers 9331.9900 Hand Pedal Vehicle Drivers, Other Hand or Pedal Vehicle Drivers, Other include workers who propel cycles and Kitchen Helper performs any combination of following duties to maintain kitchen work areas and restaurant equipment and utensils in clean and orderly condition: worktables, walls, refrigerators, and meat blocks. Segregates and removes trash and garbage and places it in designated containers. Steam-cleans or hoses-out garbage cans. Sorts bottles, and breaks disposable ones in bottle-crushing machine. Washes pots, pans, and trays by hand. Scrapes food from dirty dishes and washes them by hand or places them in racks or on conveyor to dishwashing machine. Polishes silver, using burnishing- machine tumbler, chemical dip, buffing wheel, and hand cloth. Transfers supplies work areas by hand or by use of hand pulled trolley. Sets up banquet tables. Washes and peels vegetables, using knife or peeling machine. Loads or unloads trucks picking up or delivering supplies and food ISCO 08 Unit Group Details: Code 9412 Title Kitchen Helpers Sub Division 95 Street and Related Sales and Services Workers Street and Related Sales and Service"
9621,"Messengers, Package Deliverers","Title Messengers, Package Deliverers and Luggage Porters and Luggage Porters"
9622,Odd-job Persons,9621.0400
9623,Meter Readers and Vending,Machine Collectors Bellhop (Hotel and Restaurant)
9624,Water and Firewood Collectors,Bellhop (Hotel and Restaurants) performs
9629,"Elementary Workers, Not","any combination of following duties to Elsewhere Classified serve hotel guests. Escorts incoming hotel Hotel Concierge; Baggage Porter, Hotel delivers baggage to and from hotel rooms, sets up sample room for Salesmen and performs related services as requested by guests or directed by authorities. Transfers trunks, packages and other baggage to room or loading area manually or using hand truck. Arranges for outgoing freight, express or mail shipment, compute charges, tags articles, and records information such as addressee, addresser, carrier and charges on specified forms. (Sets up display tables, racks or shelves and assists Salesmen in unpacking and arranging merchandise display.) May supply guests with travel information such as transportation rates, ISCO 08 Unit Group Details:"
9621.0900,Code 9621,"Title Messengers, Package Deliverers and Luggage Porters 9621.1300 Water Carrier Water Carrier; Bhishtidraws water from wells, rivers ponds etc. for drinking, washing, cleaning and other purposes in house, building or institution. Collects water in big leather bags, buckets or other containers from taps, ponds or well and carries leather bag or containers filled with water and delivers at houses of clients for drinking, cleaning of drains, This family covers Elementary Workers not classified elsewhere in Division 9, Elementary workers. For instance, the group includes those who issue and collect parking or admission tickets, provide personal items to patrons or customers in cloak. 9629.0100 Usher guides patrons to their seats in cinema halls, theatres and other places of entertainment. Examines uncollected"
9623.9900,"portions of tickets, held by","patrons, at entrance or inside auditorium or enclosure of show, play, game or any other entertainment to find out allotted numbers of seats reserved; escorts patrons to their appropriate seats; guides patrons whose seats are not reserved to Division Total Number of Job Roles 6 118 7 849 8 676 9 115 1758"
